venue,hindex
new forest,1
new genet soc,1
new idea psychol,6
new j phys,3
new library world,1
new mathematics and natural computation,4
new media soc,1
new phytol,2
new review of hypermedia and multimedia,4
new review of hypermedia and multimedia hypermedia,1
new review of information networking,2
new south wales public health bulletin,1
new technol work employ,1
new york times book review,1
new zealand journal of psychology,1
new2an,1
nexus netw j,1
nfm,2
ngc,9
ngi,1
ngits,2
ngmast,2
nhsa dialog a research to practice journal for the early intervention field,1
nicotine tob res,1
nime,3
nips,28
nis,1
njas wagen j life sci,1
njc,3
nldb,9
nlg,12
nmr,7
nmr biomed,2
nocs,1
noise vibration worldwide,1
nolisp,3
noms,3
nondestruct test eval,3
nonlinear anal real world app,8
nonlinear analysis,5
nonlinear biomed phys,1
nonlinear dynamics,11
nonlinear dynamics psychology and life sciences,2
nonlinear oscil,1
nonlinear process geophys,3
nonlinearity,2
nonrenewable resources,3
nord j linguist,2
nord j psychiatr,1
nord pulp paper res j,1
nordichi,3
noropsikiyatri ars,1
north am j fish manage,1
north american journal of economics and finance,1
north holland mathematical library,5
nossdav,2
notices amer math soc,1
notulae scientia biologicae,1
nous,1
npar,5
npc,5
npg asia materials,1
npl,36
nsdi,2
nspw,3
nss,4
ntms,3
nucl eng des,3
nucl instrum meth,3
nucl instrum meth phys res b,1
nucl med commun,1
nucl phys,2
nucl phys b proc suppl,1
nuclear engineering and technology,2
nuclear medicine and molecular imaging,1
nucleus,1
nukleonika,1
numer func anal optimiz,1
numer heat transfer pt b fund,1
numer linear algebr appl,2
numer math,3
numer math theory methods app,4
numer method partial differ e,1
numerical algorithms,5
numerical analysis and applications,1
numerical heat transfer,2
nurs ethics,1
nurs outlook,1
nurse educ today,1
nurse education in practice,1
nursing standard,1
nutr cycl agroecosyst,1
nutr metab (lond),1
nutr res rev,1
nutrients,1
oberwolfach reports,1
obes facts,1
obes res clin pract,1
obes rev,1
obes surg,1
obstet gynecol,1
obstetrics and gynecology international,1
obstetrics gynaecology reproductive medicine,1
occup med oxford,1
occupational therapy international,1
ocean and polar research,1
ocean coast manage,2
ocean dyn,2
ocean eng,5
ocean model,3
ocean sci,1
ocean science discussions,1
oceanic linguistics,1
oclc systems services,1
odontology,1
oecologia,2
oikos,1
oil gas sci technol,1
oil shale,1
omega,8
omics,2
on the horizon,1
oncogene,1
oncol rep,1
oncologie,1
oncotarget,1
ondm,1
online review,4
oopsla,4
oopsm,2
open chemistry,1
open environmental sciences,1
open forest science journal,1
open learning,1
open medicine,2
open physics,1
open syst inf dyn,2
operations management research,1
operations research,5
operative techniques in orthopaedics,1
operative techniques in otolaryngology head and neck surgery,1
ophthalmic physl opt,1
ophthalmic surg lasers imagin,1
opodis,2
opsearch,4
opt commun,5
opt eng,10
opt express,8
opt fiber technol,1
opt laser eng,7
opt laser technol,7
opt mater,1
opt photonics news,1
opt quant electron,1
opt rev,4
opt spectrosc,1
optica applicata,4
optical memory and neural networks,5
optical switching and networking,1
optics,1
optics letters,2
optik,13
optim contr appl meth,7
optim method softw,6
optimization,3
optimization letters,5
opto electron rev,5
optoelectronics instrumentation and data processing,3
optoelectronics letters,2
optometry vision sci,1
or insight,1
or spektrum,3
oral oncol,1
oral radiol,1
oral surg oral med oral patho,1
oral surgery oral medicine oral pathology and oral radiology,1
order,3
ore geol rev,2
org divers evol,1
org lett,1
org process res dev,1
organ behav hum decision proc,3
organ dyn,1
organ res methods,1
organ sci,2
organisational transformation and social change,1
organised sound,2
organizacija,2
organization management journal,1
organizational behavior and human performance,1
origins life evol biosphere,1
orij,5
orl,3
orthod craniofac res,1
orthop traumatol surg res,1
orthopade,1
orthopaedics and trauma,1
orthopedic clinics,1
osaka j math,1
osdi,3
oss,2
osteoarthritis cartilage,3
osteologie,1
osteoporosis int,1
ostrich,1
otol neurotol,1
otolaryngol clin n amer,1
otolaryngol head neck surg,1
owled,5
ozchi,3
ozone sci eng,1
p adic numbers ultrametric analysis and applications,2
p asist annu meet,4
p2p,3
paa,42
paapp,2
pab,1
pac basin financ j,2
pac econ rev,1
pac rev,1
paccs,2
pace pac clin electrophys,1
pacific journal of optimization,1
pacific philosophical quarterly,2
paciia,4
pacis,1
packag technol sci,1
pact,3
paddy water environ,1
padl,7
pads,3
paediatr perinat epidemiol,1
pain,1
pain manag nurs,1
pain med,1
paisi,4
pakdd,11
pakistan journal of biological sciences,1
pakistan journal of medical sciences,1
pakm,4
paladyn,8
palaeogeogr palaeoclimatol,1
palaeontologia electronica,1
palaeoworld,1
paleobiology,1
paleoceanography,1
palynology,1
pam,2
pami,38
pamm,1
pan pac entomol,1
pancreatology,1
panoeconomicus,1
pap reg sci,1
papers in physics,1
paraplegia,1
parasites vectors,1
parasitol int,1
parasitol res,1
parasitology,1
parco,6
parelec,1
parkinson s disease,1
parkinsonism relat disord,1
part part syst charact,1
partial answers journal of literature and the history of ideas,1
particuology,3
pasco,3
paste,2
pastoral psychology,1
pathol res pract,2
pathologe,1
pathology,1
patient educ couns,2
patient preference and adherence,1
patmos,2
pattern recognition and image analysis,8
pattern recognition in physics,1
pci,5
pcm,11
pcs,4
pdc,1
pdcat,4
pdcs,2
pdln,6
pdp,3
pdpta,2
pdsw,1
pe,4
pe-wasun,1
peabody journal of education,1
pedagog stud,1
pediat ann,1
pediat cardiol,1
pediat neurol,1
pediat neurosurg,1
pediat radiol,1
pediat res,1
pediat surg int,1
pediatr crit care med,1
pediatr int,1
pediatr transplant,1
pediatrics,1
pedobiologia,1
pedosphere,1
peer to peer networking and applications,4
pepm,2
peptides,1
percept mot skills,2
percept psychophys,5
perception,2
percom,9
performance,1
performance improvement quarterly,2
performance measurement and metrics,1
period math hung,1
period polytech civ eng,1
periodica polytechnica mechanical engineering,1
periodica polytechnica transportation engineering,1
periodicum biologorum,1
periton dialysis int,1
permafrost periglacial pro,1
pers indiv differ,1
pers med,1
pers psychol,1
pers rev,1
pers soc psychol rev,1
personal relationships,1
personality and social psychology bulletin,1
perspect biol med,1
perspect psychol sci,2
perspectives,1
perspectives of new music,1
perspectives on audiology,1
perspectives on hearing and hearing disorders research and diagnostics,1
perspectives on issues in higher education,1
perspectives on language learning and education,1
perspectives on science,2
perspectives on speech science and orofacial disorders,1
perspectives on voice and voice disorders,1
persuasive,4
pervasive,8
pervasivehealth,1
pesquisa operacional,2
pest manag sci,1
pestic sci,1
pet clinics,1
pet sci technol,2
petra,9
petri nets,4
petrol chem engl tr,1
petrol geosci,1
petroleum exploration and development,1
pets,2
pg,8
pgm,8
pharm biol,1
pharm dev technol,1
pharm world sci,1
pharmaceut res,1
pharmaceuticals,1
pharmacoeconomics,1
pharmacoepidemiol drug saf,1
pharmacogenet genomics,1
pharmacogenetics,1
pharmacogenomics j,1
pharmacol res,1
pharmacol ther,1
pharmacological reports,1
pharmacopsychiatry,1
pharmacotherapy,1
phase transit,1
phenomenology and the cognitive sciences,3
phil mag a,2
philips journal of research,2
philos ethics humanit med,1
philos psychol,3
philosophia,1
philosophical explorations,1
philosophical issues,1
philosophical papers,1
philosophical perspectives,2
philosophical quarterly,2
philosophical studies,3
philosophical transactions of the royal society a,7
philosophical transactions of the royal society b,7
philosophy,1
philosophy and foundations of physics,1
philosophy and phenomenological research,1
philosophy compass,2
philosophy east west,1
philosophy of science,2
philosophy psychiatry psychology,2
philosophy technology,2
phonetica,1
photogramm eng remote sensing,7
photogramm fernerkund geoinf,1
photogramm rec,5
photogrammetria,2
photomed laser surg,2
photonic netw commun,1
photonics letters of poland,1
photonics nanostruct,1
photosynth res,2
photosynthetica,1
phycologia,2
phys atom nucl engl tr,1
phys biol,2
phys chem chem phys,2
phys chem earth,2
phys chem earth p a solid e g,1
phys chem earth p b hydrol oc,2
phys chem earth p c solar t p,1
phys chem liq,1
phys earth planet interiors,1
phys fluids,3
phys geogr,1
phys lett,1
phys lett a,5
phys life rev,6
phys med biol,6
phys med rehabil clin n am,1
phys part nuclei,2
phys plasmas,1
phys rev,1
phys rev a,2
phys rev b,3
phys rev e,2
phys rev lett,1
phys rev spec top ph,1
phys scr,3
phys ther,1
phys ther sport,1
phys usp,2
phys world,1
physica,6
physica a,6
physica b,2
physica c,1
physica status solidi (b),1
physical communication,3
physical education sport pedagogy,1
physical occupational therapy in pediatrics,1
physicochemical problems of mineral processing,2
physics procedia,4
physics reports,5
physics research international,1
physik in unserer zeit,1
physiol behav,2
physiol genomics,1
physiol meas,3
physiol rev,2
physiological reports,1
physiology,1
physiology and molecular biology of plants,1
physiotherapy,1
physiotherapy research international,1
phytochemistry,1
phytokeys,1
phytoparasitica,1
phytopathology,1
phytotaxa,1
phytother res,1
phytotherapie,1
pik,2
pimrc,3
pirineos,1
pittsburgh journal of environmental and public health law,1
pkaw,8
pkdd,15
place branding and public diplomacy,1
placenta,1
planet space sci,3
plant biosyst,1
plant cell physiol,1
plant cell rep,1
plant dis,1
plant ecol divers,1
plant j,1
plant methods,3
plant mol biol,1
plant physiol,2
plant sci,1
plant signaling behavior,1
plant soil,1
plant syst evol,2
plant tissue culture and biotechnology,1
planta,1
plasma chem plasma process,1
plasma phys control fusion,1
plasma sources sci technol,1
plasmonics,1
plast rubber compos,1
pldi,4
pli,1
plos comput biol,10
plos currents,1
plos genet,3
plos med,1
plos neglected trop dis,1
plos one,17
plos pathog,2
plpv,1
pm r,1
pmm j appl math mech engl tr,1
pnas,7
podc,3
pods,8
poem,2
poetics,5
poetics today,1
poiesis praxis,1
pol j chem technol,1
pol marit res,2
polar biol,1
polar science,1
polic soc,1
policing,2
policy internet,1
policy sci,2
policy stud j,1
policy studies,1
polish journal of environmental studies,2
polish psychological bulletin,1
polit anal,4
polit behav,1
polit life sci,1
polit psychol,1
polit vierteljahresschr,1
pollack periodica,1
polyhedron,1
polym bull,1
polym composite,2
polym degrad stabil,1
polym eng sci,1
polym plast technol eng,2
polym rev,1
polym test,1
polymer,2
polymer reaction engineering,1
polymers,1
pop develop rev,1
pop stud j demogr,1
popl,6
popul ecol,1
popul health metrics,1
popular music and society,1
portal libr acad,1
post,2
postepy dermatologii i alergologii,1
postharvest biol technol,2
poultry sci,1
powder diffr,1
powder met,1
powder technol,3
poznan stud contemp linguist,2
ppam,3
ppdp,5
ppl,2
ppopp,2
pppj,2
ppsn,8
pr,28
practice periodical of hazardous toxic and radioactive waste management,1
practice periodical on structural design and construction,1
pragmatics,1
pragmatics cognition,3
pramana,3
prdc,3
precis agric,4
precis eng,5
premi,7
prep biochem biotechnol,1
presence,4
presidential studies quarterly,1
prev med,1
prev sci,1
prev vet med,2
prib,5
pricai,19
prima,7
primate research,1
primates,1
pris,3
prison j,1
prl,53
pro-ve,2
probab theory relat field,3
probabilistic eng mech,2
probl econ transit,1
probl inf transm,1
probus,1
proc amer math soc,2
proc combust inst,1
proc indian acad sci math sci,1
proc inst civ eng eng sustain,1
proc inst civil eng munic eng,1
proc inst civil eng water man,1
proc inst mech eng a j power,1
proc inst mech eng c j mech e,4
proc inst mech eng d j auto,2
proc inst mech eng f j rail r,2
proc inst mech eng g j a e,3
proc inst mech eng h,3
proc inst mech eng i j syst c,4
proc inst mech eng k j mul d,2
proc inst mech eng l j mater,1
procedia chemistry,1
procedia computer science,10
procedia earth and planetary science,2
procedia engineering,8
procedia in vaccinology,1
procedia social and behavioral sciences,6
proceedings,2
proceedings of spie,8
proceedings of the aristotelian society,1
proceedings of the ice waste and resource management,1
proceedings of the institution of electrical engineers,1
proceedings of the institution of mechanical engineers part m journal of engineering for the maritime environment,2
proceedings of the institution of mechanical engineers part n journal of nanoengineering and nanosystems,1
proceedings of the institution of mechanical engineers part o journal of risk and reliability,2
proceedings of the institution of mechanical engineers part p journal of sports engineering and technology,1
proceedings of the international astronomical union,1
proceedings of the national academy of sciences india section a physical sciences,3
proceedings of the national academy of sciences india section b biological sciences,1
proceedings of the royal society a mathematical physical and engineering sciences,3
proceedings of the royal society b biological sciences,2
proceedings of the royal society of london series b biological sciences (1934 1990),1
process biochem,2
process saf environ prot,3
process saf prog,1
prod oper manag,2
production engineering,4
production planning control,3
prof geogr,1
prof inf,1
prof psychol res pract,1
profes,3
professional development in education,1
prog aerosp sci,4
prog biophys mol biol,3
prog brain res,7
prog electromagn res,3
prog hum geogr,1
prog mater sci,1
prog nat sci,5
prog neuro psych biol psych,2
prog neurobiol,6
prog nucl energy,3
prog oceanogr,2
prog optics,1
prog org coating,1
prog photovoltaics,1
prog plann,1
prog polym sci,1
prog retin eye res,2
prog urol,1
program electron libr inform,2
programming and computer software,7
progress in agricultural engineering sciences,1
progress in electromagnetics research b,3
progress in electromagnetics research c,2
progress in electromagnetics research letters,1
progress in electromagnetics research m,2
progress in industrial ecology an international journal,1
progress in informatics,4
progress in transplantation,1
project management journal,2
promas,9
promet,1
prometheus,1
promise,4
property management,1
prostate,1
prosthet orthotics int,2
protein express purif,1
protein j,1
protein peptide lett,1
protein sci,1
proteins,3
proteome sci,3
proteomics,2
provsec,1
proyecciones (antofagasta),1
przeglad elektrotechniczny,6
psats,1
psb,3
psd,3
psicologia teoria e pesquisa,1
psicologica,1
psicothema,1
psihologija,1
psivt,11
psp,1
pst,5
psych learn motiv adv res th,5
psyche,1
psychiat ann,1
psychiat clin neurosciences,1
psychiat res,3
psychiatr genet,1
psychiatry investigation,1
psychnology journal,2
psycho oncol,1
psychoanal dialogues,1
psychoanalytic psychotherapy,1
psychobiology,2
psychol aging,1
psychol assessment,1
psychol bull,3
psychol fr,1
psychol health,1
psychol market,2
psychol med,1
psychol methods,2
psychol rep,1
psychol rev,8
psychol rundsch,1
psychol sci,5
psychol sport exerc,1
psychologia,1
psychologica belgica,1
psychological record,1
psychological research,4
psychological science in the public interest,1
psychological studies,1
psychology,2
psychology developing societies,1
psychology neuroscience,1
psychology of aesthetics creativity and the arts,1
psychology of language and communication,1
psychometrika,3
psychomusicology music mind and brain,1
psychoneuroendocrinology,1
psychonomic bull rev,5
psychopharmacology,3
psychophysiology,3
psychosom med,1
psychother psychosom,1
publ astron soc australia,1
publ astron soc pac,1
publ mat,1
public admin rev,1
public choice,1
public health nurs,1
public manag rev,1
public opin quart,1
public organization review,1
public performance management review,1
public personnel management,1
public relat rev,1
public transport,1
public underst sci,1
publications de l institut mathematique,1
publizistik,1
puc,6
pure and applied mathematics,1
pure appl geophys,3
pvldb,7
qdb,2
qest,2
qirt j,3
qomex,3
qosa,1
qsar comb sci,2
qsic,4
quaestiones geographicae,1
qual health care,1
qual health res,1
qual life res,1
qual quant,4
qual res,1
qual saf health care,1
qual sociol,2
qualitative market research an international journal,1
qualitative research in accounting management,1
qualitative research in financial markets,1
qualitative research in psychology,1
quality and reliability engineering,3
quality assurance and safety of crops foods,1
quality assurance in education,1
quality engineering,3
quant struct act relat,1
quantitative economics,1
quantum electron,1
quantum inf comput,1
quantum inf process,3
quart appl math,3
quart j econ,1
quart j exp psych b com phy p,1
quart j exp psychol,3
quart j roy meteorol soc,2
quart rev biol,1
quart rev biophys,1
quarterly journal of the japan welding society,1
quatern int,1
quaternary res,1
quaternary sci rev,1
quatic,1
quest,1
questa,1
queue,2
r d manage,2
ra,5
radiat meas,2
radiat oncol,1
radiat phys chem,1
radiat prot dosim,1
radiation effects,1
radio sci,2
radiocarbon,2
radioelectronics and communications systems,1
radioengineering,1
radiographics,2
radiol clin n amer,1
radiol oncol,2
radiologe,1
radiological physics and technology,1
radiology,2
radiology research and practice,1
radioprotection,1
radiother oncol,2
raid,3
rairo operations research,5
ram,6
rambam maimonides medical journal,1
rand j econ,1
rangel ecol manag,1
rangeland j,1
rangifer,1
ranlp,10
rapid commun mass spectrom,1
rare metal mat eng,1
ras,18
ratio juris,2
rbcf,1
rbm news,1
rc,2
rcc,2
rcis,5
re,6
reactivity of solids,2
read res quart,1
read teach,1
read writ,1
reading psychology,1
reading writing quarterly,1
real estate econ,1
real time imaging,10
recall,2
recent patents on computer science,3
recent patents on electrical engineering,1
recent patents on mechanical engineering,1
recent patents on nanotechnology,1
recomb,6
reconfig,5
recosoc,1
recsys,8
redox rep,1
reference librarian,1
reference services review,1
reflections the sol journal,1
reflective practice,1
refsq,3
reg environ chang,1
regul peptides,1
regul toxicol pharmacol,1
rehabil psychol,1
rejuv res,1
reliab eng syst safety,7
reliable computing,2
rem spec educ,1
remote sens environ,6
remote sensing,8
rendiconti del circolo matematico di palermo,1
renew sustain energy rev,6
renewable energy,4
rep math phys,3
rep progr phys,1
representation,1
reprod biol endocrinol,1
reprod biomed online,1
reprod fert develop,1
reprod health matters,1
res autism spectr disord,2
res chem intermediates,1
res develop disabil,2
res eng design,6
res high educ,1
res lang soc interact,2
res manag rev,3
res microbiol,1
res nondestruct eval,2
res nurs health,1
res organ beh,1
res policy,3
res sci educ,1
res sports med,1
res vet sci,1
research and practice in technology enhanced learning,2
research in accounting regulation,1
research in economics,1
research in international business and finance,1
research in learning technology,1
research in mathematics education,1
research in science technological education,1
research in transportation economics,1
research journal of business management,1
research journal of environmental sciences,1
research journal of information technology,2
research journal of medical sciences,1
research journal of microbiology,1
research letters in signal processing,1
research on language and computation,11
research papers in education,1
research quarterly for exercise and sport,1
research synthesis methods,1
resonance,1
resour conserv recycl,2
resour energy econ,1
resour policy,2
resp physiol,1
respir care,1
respir physiol neurobiol,1
respir res,1
respiratory care clinics,1
restor neurol neurosci,1
results math,2
resuscitation,2
retail and distribution management,3
retrovirology,1
rev bras econ,1
rev bras farmacogn,1
rev bras fisioter,1
rev bras zool,1
rev econ dyn,1
rev econ statist,1
rev educ res,1
rev epidemiol sante publ,2
rev esp doc cient,1
rev financ,1
rev fish biol fisheries,1
rev gen psychol,2
rev geophys,2
rev iberoam micol,1
rev industrial organ,1
rev int econ,1
rev int sociol,1
rev mal respir,1
rev market sci,1
rev med interne,1
rev metalurgia,1
rev mex fis,1
rev mod phys,1
rev neurol,1
rev palaeobot palynol,2
rev panam salud publica,1
rev port pneumol,1
rev res educ,1
rev rhum,1
rev saude publ,1
rev sci instr,2
rev signos,2
rev soc econ,1
rev symb log,2
review,1
review of accounting and finance,1
review of accounting studies,1
review of austrian economics,1
review of derivatives research,1
review of economic design,1
review of financial economics,1
review of international organizations,1
review of managerial science,1
review of philosophy and psychology,3
review of policy research,3
review of quantitative finance and accounting,2
review of sociology,2
reviews in the neurosciences,2
reviews of human factors and ergonomics,4
revista brasileira de epidemiologia,1
revista brasileira de hematologia e hemoterapia,1
revista brasileira de meteorologia,1
revista colombiana de estadistica,2
revista da sociedade brasileira de fonoaudiologia,1
revista de calidad asistencial,1
revista de neurologia,1
revista espanola de linguistica aplicada,2
revista facultad de ingenieria,3
revista iberoamericana de automatica e informatica industrial,8
revista internacional de metodos numericos para calculo y diseno en ingenieria,3
revista latinoamericana de psicologia,1
revista mexicana de biodiversidad,1
revue de metallurgie,1
revue de synthese,2
revue dintelligence artificielle,2
revue francaise de linguistique appliquee,2
revue francaise de sociologie,1
rfid ta,1
rheum dis clin n amer,1
rheumatol int,1
rheumatology,1
rice,1
ricerche di matematica,1
risk anal,4
risk decision and policy,1
risk management,1
river res appl,1
rivista di matematica per le scienze economiche e sociali,1
rla revista de linguistica teorica y aplicada,1
rml,1
rna,3
rna biol,1
ro man,7
ro-man,8
road materials and pavement design,1
road transport research,1
robio,12
robocomm,4
robocup,9
robot,2
robot comput integr manuf,10
robotica,12
robotics,7
rock art research,1
rock mech rock eng,2
romanian journal of information science and technology,1
room,1
royal institute of philosophy supplement,2
rpbfmp,1
rr,8
rsa,2
rskt,8
rsp,2
rta,4
rtas,2
rtcsa,3
rts,6
rtss,3
rue descartes,1
ruleml,7
russ chem bull,1
russ chem rev engl tr,1
russ j genet,1
russ j non ferrous metals,1
russ j nondestruct t engl tr,2
russ j numer anal math model,1
russ math survey engl tr,1
russ phys j,1
russian aeronautics (iz vuz),1
russian j electrochemistry,1
russian linguistics,2
russian mathematics,1
russian microelectronics,1
rv,2
s afr j bot,1
s afr j econ,1
s east eur j econ bus,1
s&p,5
sa computer journal,2
sa journal of human resource management,1
sab,8
saci,5
sacmat,3
saf sci,4
safecomp,3
sagt,5
sahara j j soc asp hiv aids,1
saint,4
salud publica mexico,1
sam,4
samos,2
samt,5
sangyo eiseigaku zasshi,1
sar qsar environ res,3
sara,11
sas,2
sasn,2
saso,7
sat,9
saude soc,2
saudi j biol sci,1
sbac pad,1
sbac-pad,3
sbbd,2
sbcci,3
sbia,8
sbmf,2
sbrn,6
scai,4
scam,2
scand cardiovasc j,1
scand j caring sciences,1
scand j clin lab invest,1
scand j econ,2
scand j forest res,2
scand j infec dis,1
scand j manag,1
scand j med sci sports,1
scand j metall,1
scand j psychol,2
scand j statist,3
scand j trauma resusc emerg med,1
scand j work environ health,1
scand political studies,1
scandinavian journal of information systems,1
scando slavica,1
scanning,1
sccg,6
scheduling,7
schizophr res,2
schizophrenia bull,2
scholarpedia,4
schweizerische zeitschrift fur forstwesen,1
sci agric,1
sci amer,1
sci china chem,2
sci china life sci,2
sci china math,4
sci china phys mech astron,2
sci china technol sci,6
sci educ,2
sci hort amsterdam,1
sci justice,3
sci public policy,1
sci signal,2
sci sport,1
sci stud read,1
sci technol adv mater,1
sci total envir,4
scia,12
science,1
science and engineering ethics,1
science and engineering of composite materials,1
science and technology of nuclear installations,2
science in china series f information sciences,8
science of aging knowledge environment,1
science translational medicine,2
scienceasia,2
scientia forestalis,1
scientia marina,1
scientiae studia,1
scientific and technical information processing,4
scientific journal of riga technical university computer sciences,1
scientific journal of riga technical university construction science,1
scientific reports,4
scientific research and essays,4
scientific world journal,15
scientometrics,5
scis,4
scjapan,6
scl,4
scoliosis,1
scopes,1
scott geogr j,1
scp,7
scripta mater,1
scsc,2
sdm,8
sea,1
seaa,3
seal,7
sealing technology,1
sec,2
secon,4
second lang res,1
secrypt,1
securecomm,1
securitas vialis,2
security and communication networks,4
security journal,2
securware,2
sede,1
seed sci res,1
seeing and perceiving,1
sefm,3
seg technical program expanded abstracts,2
seibutsu butsuri,1
seizure,2
seke,5
sel math new ser,1
self identity,1
semcco,6
semicond sci technol,1
semigroup forum,1
semin cancer biol,1
semin cell dev biol,1
semin hematol,1
semin nucl med,1
semin oncol,1
semin perinatol,1
semin radiat oncol,1
semin ultrasound ct mri,1
seminars in breast disease,1
seminars in colon and rectal surgery,1
seminars in neuroscience,1
seminars in orthodontics,1
seminars in speech and language,1
seminars in thoracic and cardiovascular surgery,1
semiotica,2
sensing and instrumentation for food quality and safety,1
sensor actuator a phys,6
sensor actuator b chem,5
sensornets,3
sensors,17
sensors and actuators,2
sensys,7
sep purif technol,2
separ sci technol,1
sequential analysis,1
ser rev,1
sera,3
serene,2
serv ind j,3
service business,3
services marketing quarterly,1
set valued var anal,1
setn,10
setp,1
seus,1
sew,2
sex disability,1
sex roles,1
sexologies,1
sexualities,1
sexuality research and social policy journal of nsrc,1
sg,5
sgp,6
ships and offshore structures,1
shock waves,1
shoulder elbow,1
siads,2
siam,3
siam j imaging sci,8
siam j math anal,3
siam j matrix anal applicat,2
siam j numer anal,2
siam journal on financial mathematics,1
siam journal on scientific and statistical computing,1
siam journal on scientific computing,3
siam rev,4
siamam,3
siamcomp,4
siamdm,3
siamjo,6
sib math j engl tr,2
sid symposium digest of technical papers,1
sies,2
sigact,3
sigart,12
sigcomm,3
sigcse,3
sigdoc,3
sigecom exchanges,5
siggraph,16
sigir,14
sigite,3
sigkdd explorations,10
sigmap,2
sigmetrics,5
sigmod,11
sigmod record,5
sigmultimedia rec,4
sign language linguistics,1
signal image and video processing,15
signal process image commun,14
signal processing,15
significance,1
sigops,2
sigspatial special,2
silva fennica,1
simpar,5
simpra,3
simul model pract theory,6
simulat gaming,2
simulation,5
simultech,1
simutools,3
sin,3
singap econ rev,1
sipew,1
sips,10
sisap,5
sitis,8
siu,6
skeletal radiol,1
skg,5
skin res technol,2
slate,2
sle,1
sleep,1
sleep biol rhythms,1
sleep breath,1
sleep med,1
sleep med rev,1
slogica,7
slt,9
small bus econ,1
small group res,1
small scale forestry,1
smart grid and renewable energy,2
smart mater struct,4
smart structures and systems,2
smartgreens,1
smc,19
smith coll stud soc work,1
smps,4
smpte motion imaging journal,1
smr,2
snpd,6
soc behav personal,1
soc choice welfare,3
soc cogn affect neurosci,2
soc cognition,1
soc dev,1
soc econ,1
soc forces,1
soc indic res,3
soc networks,3
soc neurosci,2
soc phil policy,1
soc policy adm,1
soc polit,1
soc sci comput rev,2
soc sci inform,1
soc sci j,1
soc sci med,1
soc sci res,1
soc stud sci,1
soc work health care,1
soca,4
socc,4
socg,6
social and personality psychology compass,1
social anthropology,1
social evolution history,1
social identities,1
social influence,1
social issues and policy review,1
social marketing quarterly,1
social psychiatry,1
social responsibility journal,1
social science information studies,1
social semiotics,1
socialcom,6
society and business review,1
socinfo,5
socio economic planning sciences,3
sociol educ,1
sociol health ill,1
sociol inq,1
sociol method,2
sociol quart,1
sociol res online,1
sociol rev,1
sociol trav,1
sociotechnica,3
soco,17
socpar,8
soda,4
sofo,1
sofsem,8
soft matter,1
softvis,1
software,4
software engineering journal,2
soil biol biochem,1
soil dynam earthquake eng,3
soil research,2
soil sci,1
soil till res,2
soil use manage,1
soils and foundations,2
sol phys,3
sola,1
solar energ,5
solar energ mater solar cells,1
solar syst res,1
soldagem insp,1
solid earth,1
solid state commun,1
solid state electron,2
solid state ionics,2
solid state sci,1
somatosens motor res,1
somet,2
somnologie schlafforschung und schlafmedizin,2
sophia,1
sopr,2
sort statistics and operations research transactions,1
sose,3
sosp,2
sosym,4
soups,2
source code biol med,2
south afr linguist appl lang,1
south african journal of animal science,1
south african journal of economic and management sciences,1
south african journal of industrial engineering,3
south african journal of philosophy,1
southern journal of philosophy,2
soviet studies,1
sp,3
spaa,3
space,3
space and polity,1
space policy,1
space sci rev,2
space weather,1
span j psychol,2
spat cogn comput,7
spatial and spatio temporal epidemiology,1
spatial vision,4
spe,5
spe reserv eval eng,1
spectrochim acta pt b at spec,2
spectrochimica acta,2
spectrosc lett,1
spectroscopy,1
spektrum augenheilkd,1
spienewsroom,1
spill sci technol bull,1
spine,1
spine j,1
spire,5
splash,3
splc,3
sport biomech,1
sport management review,2
sport med,2
sport sciences for health,1
sports engineering,3
sports technology,1
sportwissenschaft,2
sprache kognit,1
springsim,4
srds,2
sri lanka journal of bio medical informatics,1
ssbse,4
ssdbm,4
ssiai,5
ssiri,2
ssme,3
sssaj,1
stacs,6
stairs,6
standardview,1
staps,1
stat appl genet mol biol,1
stat med,3
stat methods med res,2
stat model,1
stat neerl,1
stat pap,2
stat probab lett,4
stat sci,7
stat sinica,3
stata journal,1
state politics policy quarterly,1
statistica,1
statistical analysis and data mining,8
statistical inference for stochastic processes,2
statistical methodology,3
statistics,2
statistics and computing,10
statistics in biosciences,2
statistics surveys,4
steel compos struct,1
steel in translation,1
steel res int,1
stem cell res,1
stem cells,1
stereotact funct neurosurg,1
stoc,8
stoch dyn,1
stoch environ res risk assess,6
stoch models,1
stoch proc appl,1
stochastics an international journal of probability and stochastic processes,1
storyworlds a journal of narrative studies,1
stp,1
strain,2
strateg manage j,1
strategic change,2
strategic direction,1
strategic outsourcing an international journal,1
strategies in trauma and limb reconstruction,1
stress,1
stringology,1
strojniski vestnik journal of mechanical engineering,3
stroke,2
stroke research and treatment,1
struct chem,1
struct des tall buildings,1
struct des tall spec build,1
struct equ modeling,1
struct health monit,1
struct infrastruct eng,2
struct multidiscip optim,5
struct optimization,1
struct saf,4
structural change and economic dynamics,1
structural engineering earthquake engineering,1
structural engineering mechanics,2
structural survey,1
structure,1
stt,1
sttt,5
stud fam plann,1
stud geophys geod,2
stud high educ,1
stud inform control,1
stud lang,1
stud mycol,1
stud neotrop fauna environ,1
stud nonlinear dyn econom,1
stud reg sci,1
stud russ econ dev,1
stud second lang acquis,1
stud surf sci catal,1
studia linguistica,2
